"Time","Dedr","Age","Brt","Dwt","Value","HP","Stroke","Code1","Claims"
1,142709,2,15000,21250,70528290,11073,1,1,0
1,41311,10,6574,3911,46508112,13595,1,4,0
1,41311,11,6574,3911,46508112,13595,1,4,0
1,41310,12,6574,3911,39057200,13595,1,4,0
1,41310,8,2065,1152,5528096,4005,1,4,0
1,41311,30,1594,2000,10214960,2991,1,9,0
1,41311,7,2700,3300,15622880,1824,1,1,0
1,41310,17,1178,1218,16824640,2162,1,4,0
1,99999,19,81792,67879,72955140,44999,0,7,0
1,137628,5,47597,64220,55833015,18625,0,7,0
1,97747,7,21907,28261,35032480,14194,0,7,0
1,97747,7,19643,29271,33937715,12100,0,7,0
1,107522,2,10018,9493,31748185,8157,0,7,0
1,97747,12,18155,26820,24084830,11829,0,7,0
0.64,175162,11,86374,147327,27369125,19200,0,1,0
0.36,175162,11,86374,147327,20494001,19200,0,1,0
0.59,312790,20,81792,67879,72955140,44999,0,7,0
0.68,137628,6,47597,64220,55833015,18625,0,7,0
0.32,137628,6,47597,64220,55833015,18625,0,7,0
0.68,97747,8,21907,28261,35032480,14194,0,7,0
0.32,97747,8,21907,28261,35032480,14194,0,7,0
0.68,97747,8,19643,29271,33937715,12100,0,7,0
0.32,97747,8,19643,29271,33937715,12100,0,7,0
0.68,107522,3,10018,9213,31748185,8157,0,7,0
0.32,107522,3,10018,9213,31748185,8157,0,7,0
0.68,97747,13,18155,26820,24084830,11829,0,7,1
0.32,97747,13,18155,26820,24084830,11829,0,7,0
0.68,175162,12,86374,147327,20494001,19200,0,1,0
0.32,175162,12,86374,147327,20494001,19200,0,1,0
1,137628,7,47597,64220,55833015,18625,0,7,0
1,97747,9,21907,28261,35032480,14194,0,7,0
1,97747,9,19643,29271,33937715,12100,0,7,0
1,107522,4,10018,9493,31748185,8157,0,7,0
1,97747,14,18155,26820,24084830,11829,0,7,1
0.25,175162,13,86374,147327,20494001,19200,0,1,0
0.75,175162,13,86374,147327,18720482,19200,0,1,0
0.53,135345,16,24300,38200,19335000,13230,0,1,0
0.53,135345,17,22746,36920,19335000,13230,0,1,0
0.53,135345,21,22706,35100,19335000,10700,1,1,1
0.53,135345,38,20645,29283,19335000,8999,0,1,0
0.53,135345,24,22674,33084,19335000,9000,1,1,0
0.53,135345,24,22772,33309,19335000,9000,1,1,0
0.53,135345,28,23989,35439,19335000,9000,1,1,0
0.53,135345,29,23983,34938,19335000,9000,1,1,0
0.53,135345,32,20633,29272,19335000,9600,0,1,1
