"Clr","Dedr","Age","Brt","Dwt","Value","HP","Stroke","Code1"
130434,97747,13,18155,26820,24084830,11829,0,7
272909,97747,14,18155,26820,24084830,11829,0,7
410188,135345,32,20633,29272,19335000,9600,0,1
171390,96675,40,6730,7450,3867000,1850,1,1
159255,128455,22,22706,35100,19335000,10700,1,1
318883,135345,43,18531,28591,3867000,8750,0,1
288342,119352,12,6398,8734,15375788,3800,1,1
160205,119352,11,7556,11339,16960269,3798,1,1
985069,99998,3,11426,16700,29676762,8973,1,6
350819,119352,13,6398,8734,15375788,3800,1,1
490324,119352,12,7556,11339,16960269,3798,1,1
99295,51612,1,50000,53000,39121714,47447,0,3
456893,51612,6,34231,45696,33741188,22350,0,3
101772,51612,16,10243,6704,5548264,14410,1,3
170732,51612,15,13998,9649,10322352,7770,0,3
269400,51612,15,13998,9649,10322352,7770,0,3
488802,99998,5,10000,16710,27741321,8973,1,6
482318,99998,4,10000,16710,29676762,8973,1,6
981432,51612,2,53324,63645,40553940,47447,0,3
980669,45160,2,53324,63645,40553940,47447,0,3
310742,45160,18,18591,3245,38708820,13200,1,8
148339,51612,16,10243,6704,5548264,14410,1,3
147945,45160,16,10243,6704,5548264,14410,1,3
183835,51612,16,14377,13935,11354587,6500,0,7
183802,45160,16,14377,13935,11354587,6500,0,7
225801,51612,11,24084,11700,16741565,14412,1,4
196019,45160,11,24084,11700,16741565,14412,1,4
89275,51612,16,13998,9649,10322352,7770,0,3
89269,45160,16,13998,9649,10322352,7770,0,3
133997,51612,3,31000,37000,36063717,38542,0,3
92964,51612,3,31000,37000,36063717,38542,0,3
110998,51612,3,31000,37000,36063717,38542,0,3
110977,45160,3,31000,37000,36063717,38542,0,3
82570,45160,3,31000,37000,36063717,38542,0,3
133991,45160,3,31000,37000,36063717,38542,0,3
92939,45160,3,31000,37000,36063717,38542,0,3
296894,99998,6,10000,16710,27741321,8973,1,6
228552,99998,6,10000,16710,27741321,8973,1,6
208688,99998,6,10000,16710,27741321,8973,1,6
164512,99998,6,10000,16710,27741321,8973,1,6
372675,99998,5,10000,16710,29676762,8973,1,6
200093,99998,5,10000,16710,29676762,8973,1,6
253587,99998,5,10000,16650,29676762,8973,1,6
149573,99998,5,10000,16650,29676762,8973,1,6
156140,99998,4,11426,17078,30321909,8973,1,6
2393283,99998,4,11500,17078,30321909,8973,1,6
635781,58708,16,6389,8721,15376434,3510,1,1
326007,58708,15,6389,8709,15375788,3510,1,1
86933,45160,8,34231,45696,32450894,22350,0,3
94908,45160,8,34231,45696,33741188,22350,0,3
316237,45160,8,34231,45696,33741188,22350,0,3
209159,45160,17,45051,75466,33547644,14860,0,1
658931,45160,17,45051,75466,33547644,14860,0,1
167017,45160,17,45051,75466,33547644,14860,0,1
1238682,45160,14,25353,12019,17922184,14412,1,3
215027,45160,17,14377,13355,11354587,6500,0,7
93191,45160,18,10243,6704,5548264,14410,1,3
120304,45160,3,53324,63645,39121714,47447,0,3
132667,45160,3,53324,63551,38992685,47447,0,3
116687,45160,3,53324,63551,38992685,47447,0,3
1713260,45160,3,53324,63645,39186229,47447,0,3
207211,45160,3,53324,63645,46482841,47447,0,3
121984,45160,3,53324,63645,40553940,47447,0,3
326061,45160,3,25499,33950,38366892,21752,0,3
168091,45160,5,36615,69045,14806124,10500,0,1
218654,88326,19,18591,3245,38708820,13200,1,8
172479,80643,8,5480,9028,13548087,5155,0,6
446701,96772,7,10000,16710,26451027,8973,1,6
402762,96772,6,10000,16710,27741321,8973,1,6
951181,96772,5,11426,17078,27096174,8973,1,6
293249,51612,5,31131,38650,35225026,38542,0,3
293245,51612,5,31131,38650,35225026,38542,0,3
1315168,51612,9,34231,45696,32450894,22350,0,3
454536,51612,9,34231,45696,32450894,22350,0,3
1515171,51612,9,34231,45696,32450894,22350,0,3
482176,45161,11,18000,26288,28709042,13595,0,3
556117,51612,11,18000,26288,28709042,13595,0,3
556117,51612,11,18000,26288,28709042,13595,0,3
157587,45160,7,19819,22300,9225602,15598,0,3
130739,51612,15,25353,12019,17922184,14412,1,3
228264,51612,15,25353,12019,17922184,14412,1,3
78396,45160,13,24084,11700,16741565,14412,1,4
105162,51612,13,24084,11700,16741565,14412,1,4
154033,45160,18,14377,13355,11354587,6500,0,7
161287,51612,18,14377,13355,11354587,6500,0,7
152461,51612,18,14377,13355,11354587,6500,0,7
340914,45160,18,13998,9649,10322352,7770,0,3
337257,51612,18,13998,9649,10322352,7770,0,3
339010,51612,18,13998,9649,10322352,7770,0,3
274520,51612,3,53324,63645,39121714,47447,0,3
274517,51612,3,53324,63645,39121714,47447,0,3
385286,80000,4,53324,63645,39121714,47447,0,3
249217,100944,4,53324,63645,39121714,47447,0,3
350446,51612,4,53324,63645,39121714,47447,0,3
184602,45161,4,53324,63527,39186229,47447,0,3
103235,45160,4,53324,63523,47250566,47447,0,3
157066,45161,4,53324,63645,46482841,47447,0,3
157591,51613,4,53324,63645,40553940,47447,0,3
158866,51613,4,53324,63645,40553940,47447,0,3
140199,45160,3,53324,63537,46424778,47447,0,3
114981,26389,3,53324,63537,46424778,47447,0,3
140200,51612,3,53324,63537,46424778,47447,0,3
625793,45160,4,155061,322398,41553918,29450,0,1
3452020,45160,4,155061,322398,41553918,29450,0,1
106857,45160,4,155061,322398,41553918,29450,0,1
107320,45160,4,155061,322398,41553918,29450,0,1
677404,96772,4,155061,322398,41553918,29450,0,1
3503632,96772,4,155061,322398,41553918,29450,0,1
155541,96772,4,155061,322398,41553918,29450,0,1
677404,96772,4,155061,322398,41553918,29450,0,1
3433307,96772,4,155061,322398,41553918,29450,0,1
140409,96772,4,155061,322398,41553918,29450,0,1
2113720,45160,20,18591,3245,38708820,13200,1,8
1224622,96772,7,10000,16710,27741321,8973,1,6
104956,45160,6,36615,69045,14806124,10500,0,1
111412,51612,6,36615,69045,14806124,10500,0,1
111407,51612,6,36615,69045,14806124,10500,0,1
115702,51612,10,14332,24740,28644527,8973,1,6
205087,51612,9,14332,23400,28644527,10115,1,6
144682,45000,2,25630,33900,15096440,26932,0,3
243713,145158,12,33336,5083,72256464,26648,1,5
308863,145158,11,33336,5120,72256464,26648,1,5
453917,99999,2,4400,5600,9548176,5384,1,3
233427,64516,5,53324,63527,39186229,47447,0,3
155644,45160,5,53324,63527,39186229,47447,0,3
165983,45160,4,53324,63537,46424778,47447,0,3
203661,64515,5,53324,63645,46482841,47447,0,3
156128,45160,5,53324,63645,46482841,47447,0,3
201005,126180,5,53324,63523,47250566,47447,0,3
201028,45160,5,53324,63523,47250566,47447,0,3
842504,126180,6,31000,37000,12644881,38542,0,3
1680546,883260,6,31000,37000,12644881,38542,0,3
938097,883260,6,31000,37000,12644881,38542,0,3
86917,51612,16,25353,12019,17922184,14412,1,3
133629,51612,16,25353,12019,17922184,14412,1,3
402570,84749,28,11999,4211,20480784,16000,1,5
964708,94635,10,19643,29271,33937937,12100,0,7
161961,107253,5,10018,9965,31748392,8157,0,7
365922,111669,5,23496,29458,46815480,12510,0,7
729632,65159,10,2298,300,21719779,1379,1,8
158932,96772,4,155061,322398,57159540,29450,0,1
554199,49479,6,11426,17078,27096220,8973,1,6
104178,45000,4,16200,22420,10977660,18120,0,3
136201,63090,22,7114,1849,5804280,4500,1,2
300093,126180,3,11591,4442,34068600,13378,1,2
165503,100944,16,16250,23434,17204643,13460,0,3
173513,100944,5,23400,33570,40000322,22187,0,3
145271,100944,16,16250,23465,17204643,9245,0,3
586321,100944,4,25624,33914,40000322,23384,0,3
307067,69904,11,6419,6830,10599120,9049,0,2
101449,69904,1,14240,18400,23848020,13609,0,3
107758,69904,6,10925,13700,18548460,13228,1,3
135216,69904,18,2699,4028,3533040,2000,1,6
197927,50000,17,6398,8909,15376295,3800,1,1
245815,50000,17,6389,8709,15376295,3510,1,1
182489,50000,17,6389,8709,15376295,3510,1,1
302424,50000,20,6944,10110,13498736,4600,1,1
516291,178220,15,31598,6403,51899348,26100,1,3
6122918,145157,12,33336,5120,72256586,26648,1,5
301016,37450,17,3329,4127,3873726,3019,1,2
232094,75000,4,4115,5184,9084960,5384,1,2
562311,94635,20,13998,9649,10346760,7770,0,3
394880,94635,20,13998,9649,10346760,7770,0,3
614181,126180,8,36615,69045,17034300,10500,0,1
1072530,126180,7,36615,70165,16403400,10500,0,1
4917840,126180,17,25353,10788,12618000,14412,1,5
195579,126180,17,25353,10788,12618000,14412,1,5
883260,126180,20,45051,75466,8075520,14860,0,1
206273,126180,6,53324,63645,44163000,47447,0,3
201762,126180,6,53324,63523,50472000,47447,0,3
205408,126180,6,53324,63564,38611080,47447,0,3
285205,63090,7,21367,32250,31545000,11338,1,6
479484,100944,5,25624,33914,40000322,23384,0,3
290214,100944,5,25624,33914,40000322,23384,0,3
318979,100944,17,16250,23434,17204643,13460,0,3
101449,69904,2,23132,30537,30914100,21460,0,2
293596,69904,7,10925,13700,18548460,13228,1,3
101449,69904,6,10925,13700,18548460,13228,1,3
669259,69904,11,10376,12835,14573790,11964,1,3
200018,69904,12,6420,6817,10599120,9049,0,2
168754,69904,22,2690,3914,3533040,2450,1,6
151118,94635,3,5061,857,52127482,5070,1,8
164103,82017,0,14000,18400,22081500,15036,0,3
189270,75708,5,4115,5199,9084960,5384,1,2
368698,53466,26,1176,800,3564400,6160,1,9
273701,62377,28,846,813,1996064,2300,1,9
122261,62377,30,836,892,2851520,4000,1,9
1469102,534660,5,69153,6260,327924800,54040,1,8
369313,178220,20,25122,10500,49901600,17700,0,4
324367,178220,20,25122,10500,49901600,17700,0,4
255676,178220,23,9085,3775,5346600,18171,1,5
115479,71288,29,3040,711,4705008,5600,1,4
118785,71288,28,4211,1045,2352504,9462,1,4
228960,178220,25,8023,3927,5346600,11400,1,5
417088,178220,26,4259,7078,8911000,12000,1,5
768884,178220,26,4377,4035,7128800,12000,1,5
903465,178220,10,22986,6584,49901600,24416,1,5
413036,178220,21,25122,10500,49901600,17700,0,4
413445,178220,21,25122,10500,49901600,17700,0,4
416947,178220,21,25122,10500,49901600,17700,0,4
273469,71288,30,3040,711,2530724,5600,1,4
128269,55694,2,23987,9415,40099500,13378,1,3
106408,55694,2,23987,9755,40099500,13378,1,3
397997,178220,15,31785,6403,32792480,26100,1,5
785951,178220,26,8023,3927,5346600,11400,1,5
1374013,178220,27,4377,4035,7128800,12000,1,5
402464,178220,15,26433,4213,62377000,31404,1,5
453655,178220,22,20446,3605,37426200,24000,1,4
805970,44940,37,2632,660,2217040,3450,0,8
306165,74900,9,439,50,5392800,5544,1,8
369804,74900,6,269,50,3834880,3466,1,8
152016,74900,8,478,100,2396800,4864,1,4
154706,74900,8,478,100,2396800,4864,1,4
1090375,149800,5,9650,850,44940000,12240,1,5
219415,149800,21,1568,305,2396800,1700,1,4
233024,149800,7,225,100,2022300,3646,0,8
702792,74900,19,2119,1778,2996000,3005,1,2
208491,74900,19,2119,1778,2996000,3005,1,2
381570,149800,3,11386,4210,59920000,12236,1,5
611465,149800,6,3695,1773,10036600,3594,1,4
407215,149800,8,2036,858,5992000,5002,1,4
174822,74900,7,2631,635,10905440,3260,1,4
352866,74900,2,1264,820,10066560,3072,1,4
359051,52430,0,1875,700,9986717,3480,1,4
516955,74900,27,737,199,2996000,1250,0,3
156163,74900,15,1974,1002,5033280,2826,0,3
317617,74900,6,172,17,2157120,1998,1,4
722490,29960,2,4200,6254,8988000,3589,1,1
186822,74900,22,1262,1150,2756320,1125,1,2
118375,74900,13,1280,662,6950720,1997,1,4
123867,74900,16,1984,1002,5992000,2300,0,4
1024051,149800,7,3695,1773,10036600,3603,1,4
380222,149800,28,1393,344,2696400,2200,1,4
84347,44940,22,16788,17190,13482000,9300,0,1
191094,59920,2,2598,2752,22470000,15008,1,9
108051,44940,3,2926,3044,26215000,14738,1,9
210400,44940,2,2955,3037,26215000,14738,1,9
95636,44940,18,570,500,2546600,1500,1,9
78556,44940,48,843,1000,2247000,1500,1,9
232190,52430,1,2500,700,9986717,3480,1,4
577289,74900,22,2119,1778,2996000,3005,1,2
158468,29960,17,1439,607,8988000,3000,0,4
119840,74900,12,1587,680,7789600,2446,0,4
188687,74900,9,2631,635,10905440,3260,1,4
227003,74900,17,1984,1002,5992000,2300,0,4
172787,74900,22,996,530,4434080,1300,0,4
233006,149800,24,1568,305,2996000,1700,1,4
