"O","Alder","E"
2,36,455.761293292322
5,37,173.335448829935
1,38,208.625165455075
3,39,255.551027832216
4,40,311.011584494637
5,41,364.473383434852
8,42,408.208782647611
6,43,455.071197821232
7,44,498.828499157533
11,45,571.901675359331
9,46,641.233569854775
9,47,713.39131813734
11,48,793.154871006914
14,49,882.697489558749
19,50,976.645719032398
20,51,1072.42787052
34,52,1181.78177671528
40,53,1288.09662480085
25,54,1428.40720740236
33,55,1570.21950755469
48,56,1725.29915718902
59,57,1868.17079899059
60,58,2028.54041073979
65,59,2203.8040546278
86,60,2375.88547816341
117,61,2555.94693329362
116,62,2698.28993373204
128,63,2806.43750013046
135,64,2911.78076133399
152,65,2948.80519019053
164,66,2919.85028074527
158,67,2836.99756288939
182,68,2728.78590274857
195,69,2604.45650536964
201,70,2457.07187475324
205,71,2325.73860857917
242,72,2155.87971703733
252,73,1980.00279477492
254,74,1794.76027625249
239,75,1624.49947598721
251,76,1440.8816314196
254,77,1239.1887067513
246,78,1053.10662945826
213,79,887.440766791929
216,80,719.271046310914
193,81,567.543510326995
142,82,456.513215178306
114,83,367.495193485132
105,84,313.4258835678
105,85,242.373967390966
90,86,174.43724385583
62,87,130.566232113239
62,88,103.416754617513
200,110,354.130804319983
