"age","mu10","mu12"
20,0.498956495170687,0.00307615299154727
21,0.464469094515088,0.00329211586906619
22,0.432365430348524,0.00352324052969357
23,0.402480741061217,0.00377059141408545
24,0.374661653209895,0.0040353076924928
25,0.348765394378514,0.00431860851119059
26,0.324659060445282,0.00462179860723498
27,0.302218933495503,0.00494627431740743
28,0.281329846879641,0.00529353000901982
29,0.261884594157964,0.00566516496219739
30,0.243783378898375,0.00606289073533592
31,0.226933302503702,0.00648853904765454
32,0.211247887439878,0.00694407021514715
33,0.19664663341813,0.00743158217878402
34,0.183054604253452,0.00795332016654297
35,0.17040204327901,0.00851168703376824
36,0.158624015342755,0.00910925432947954
37,0.147660073548884,0.00974877413959686
38,0.137453949033812,0.010433191761625
39,0.127953262184548,0.0111656592691705
40,0.119109253817365,0.0119495500287627
41,0.110876534937168,0.0127884742358354
42,0.103212853793235,0.0136862955414195
43,0.0960788790358613,0.0146471488461223
44,0.0894379978610064,0.0156754593433402
45,0.0832561281069871,0.016775962899412
46,0.0775015433388756,0.0179537278645692
47,0.0721447100228953,0.0192141784151362
48,0.0671581359551693,0.0205631195344814
49,0.0625162291669295,0.0220067637477682
50,0.058195166582065,0.0235517597336333
51,0.0541727717529358,0.0252052229445613
52,0.0504284010469713,0.02697476837698
53,0.0469428376999441,0.0288685456419947
54,0.0436981931921801,0.0308952764982827
55,0.0406778154415528,0.0330642950200032
56,0.0378662033420902,0.0353855905847153
57,0.0352489272095923,0.037869853879285
58,0.0328125547259724,0.04052852613566
59,0.0305445820022558,0.0433738518232669
60,0.0284333694064377,0.0464189350407049
61,0.0264680818268602,0.0496777998664469
62,0.024638633064527,0.0531654549464925
63,0.0229356340689694,0.0568979626164287
64,0.0213503447519996,0.0608925128762412
65,0.0198746291320526,0.065167502558564
66,0.0185009135789079,0.0697426200549765
67,0.017222147944497,0.0746389359905522
68,0.0160317693803124,0.0798790002642614
69,0.0149236686557234,0.0854869459021433
70,0.0138921588043379,0.0914886002015433
