"O","Alder","E"
92,36,455.761293292322
17,37,173.335448829935
28,38,208.625165455075
22,39,255.551027832216
31,40,311.011584494637
44,41,364.473383434852
37,42,408.208782647611
41,43,455.071197821232
44,44,498.828499157533
34,45,571.901675359331
49,46,641.233569854775
46,47,713.39131813734
45,48,793.154871006914
42,49,882.697489558749
50,50,976.645719032398
61,51,1072.42787052
68,52,1181.78177671528
68,53,1288.09662480085
76,54,1428.40720740236
74,55,1570.21950755469
69,56,1725.29915718902
81,57,1868.17079899059
90,58,2028.54041073979
73,59,2203.8040546278
85,60,2375.88547816341
71,61,2555.94693329362
84,62,2698.28993373204
75,63,2806.43750013046
53,64,2911.78076133399
73,65,2948.80519019053
50,66,2919.85028074527
43,67,2836.99756288939
26,68,2728.78590274857
23,69,2604.45650536964
16,70,2457.07187475324
12,71,2325.73860857917
15,72,2155.87971703733
20,73,1980.00279477492
8,74,1794.76027625249
7,75,1624.49947598721
11,76,1440.8816314196
6,77,1239.1887067513
11,78,1053.10662945826
7,79,887.440766791929
12,80,719.271046310914
4,81,567.543510326995
10,82,456.513215178306
5,83,367.495193485132
5,84,313.4258835678
3,85,242.373967390966
1,86,174.43724385583
1,87,130.566232113239
5,88,103.416754617513
2,110,354.130804319983
