år;rate;P(t)
1;0.00462888;0.995381817
2;0.006908829;0.986277367
3;0.009235341;0.972674268
4;0.011556453;0.954826325
5;0.01387219;0.932989855
6;0.016182577;0.907469373
7;0.018487638;0.878610613
8;0.0195571;0.855168462
9;0.020507862;0.831461109
10;0.0218198;0.803966241
11;0.022314756;0.782342763
12;0.022809468;0.760549857
13;0.023303934;0.73863518
14;0.023798157;0.716645348
15;0.024292135;0.694625779
16;0.024214052;0.678802657
17;0.024135963;0.663443644
18;0.024057867;0.648533503
19;0.023979766;0.63405755
20;0.023901659;0.62000163
21;0.024080953;0.603083258
22;0.024460038;0.583844367
23;0.024938972;0.563495265
24;0.025460307;0.542782084
25;0.025991249;0.522160003
26;0.026513477;0.501902004
27;0.0270172;0.482167165
28;0.027497651;0.463043523
29;0.027952985;0.444574977
30;0.028383031;0.426778167
31;0.028788539;0.409653048
32;0.029170735;0.393189526
33;0.029531058;0.377371597
34;0.029871004;0.362179935
35;0.030192045;0.347593502
36;0.030495582;0.333590547
37;0.030782922;0.320149209
38;0.031055273;0.307247892
39;0.031313744;0.294865486
40;0.031559345;0.282981485
41;0.031793001;0.271576057
42;0.032015553;0.260630075
43;0.032227767;0.250125123
44;0.032430345;0.240043486
45;0.032623925;0.230368144
46;0.032809092;0.221082743
47;0.032986382;0.212171584
48;0.033156287;0.203619591
49;0.033319258;0.195412293
50;0.03347571;0.187535801
51;0.033626028;0.179976783
52;0.033770564;0.172722445
53;0.033909646;0.165760507
54;0.034043578;0.159079183
55;0.034172639;0.152667163
56;0.034297091;0.146513593
57;0.034417176;0.140608055
58;0.03453312;0.134940552
59;0.034645134;0.12950149
60;0.034753414;0.12428166
61;0.034858144;0.119272227
62;0.034959496;0.114464709
63;0.03505763;0.109850968
64;0.035152697;0.105423194
65;0.035244839;0.101173891
66;0.035334189;0.097095865
67;0.035420872;0.093182212
68;0.035505006;0.089426307
69;0.0355867;0.085821792
70;0.035666061;0.082362564
71;0.035743186;0.079042768
72;0.035818169;0.075856783
73;0.035891097;0.072799216
74;0.035962055;0.06986489
75;0.03603112;0.067048839
76;0.036098367;0.064346295
77;0.036163868;0.061752682
78;0.03622769;0.05926361
79;0.036289896;0.056874866
80;0.036350546;0.054582405
81;0.036409699;0.052382346
82;0.03646741;0.050270966
83;0.036523729;0.048244689
84;0.036578708;0.046300085
85;0.036632393;0.044433863
86;0.03668483;0.042642863
87;0.036736061;0.040924053
88;0.036786128;0.039274523
89;0.03683507;0.037691481
90;0.036882924;0.036172246
91;0.036929726;0.034714248
92;0.036975511;0.033315017
93;0.037020311;0.031972185
94;0.037064159;0.030683479
95;0.037107083;0.029446717
96;0.037149112;0.028259805
97;0.037190276;0.027120734
98;0.037230599;0.026027576
99;0.037270107;0.02497848
100;0.037308826;0.02397167
101;0.037346777;0.023005441
102;0.037383985;0.022078159
103;0.03742047;0.021188252
104;0.037456253;0.020334215
105;0.037491355;0.019514602
106;0.037525795;0.018728025
107;0.03755959;0.017973152
108;0.03759276;0.017248707
109;0.037625322;0.016553461
110;0.037657291;0.015886239
111;0.037688684;0.015245911
112;0.037719517;0.014631392
113;0.037749804;0.014041643
114;0.037779559;0.013475666
115;0.037808798;0.0129325
116;0.037837532;0.012411229
117;0.037865774;0.011910968
118;0.037893539;0.011430872
119;0.037920836;0.010970126
120;0.037947679;0.010527952
121;0.037974078;0.010103601
122;0.038000044;0.009696354
123;0.038025588;0.009305522
124;0.038050719;0.008930444
125;0.038075449;0.008570483
126;0.038099786;0.008225032
127;0.03812374;0.007893505
128;0.03814732;0.00757534
129;0.038170534;0.00727
130;0.038193391;0.006976968
131;0.038215899;0.006695746
132;0.038238066;0.00642586
133;0.0382599;0.006166853
134;0.038281408;0.005918285
135;0.038302597;0.005679736
