"age","mu10","mu12"
20,0.498956495170688,0.00307615299154728
21,0.464469094515088,0.0032921158690662
22,0.432365430348525,0.00352324052969358
23,0.402480741061217,0.00377059141408545
24,0.374661653209896,0.00403530769249281
25,0.348765394378515,0.0043186085111906
26,0.324659060445282,0.00462179860723498
27,0.302218933495504,0.00494627431740744
28,0.281329846879642,0.00529353000901983
29,0.261884594157964,0.0056651649621974
30,0.243783378898375,0.00606289073533593
31,0.226933302503703,0.00648853904765455
32,0.211247887439878,0.00694407021514715
33,0.19664663341813,0.00743158217878403
34,0.183054604253452,0.00795332016654298
35,0.17040204327901,0.00851168703376826
36,0.158624015342755,0.00910925432947955
37,0.147660073548884,0.00974877413959687
38,0.137453949033813,0.010433191761625
39,0.127953262184548,0.0111656592691705
40,0.119109253817366,0.0119495500287627
41,0.110876534937168,0.0127884742358354
42,0.103212853793235,0.0136862955414195
43,0.0960788790358615,0.0146471488461223
44,0.0894379978610065,0.0156754593433403
45,0.0832561281069872,0.0167759628994121
46,0.0775015433388757,0.0179537278645692
47,0.0721447100228954,0.0192141784151362
48,0.0671581359551693,0.0205631195344814
49,0.0625162291669296,0.0220067637477683
50,0.0581951665820651,0.0235517597336333
51,0.0541727717529359,0.0252052229445614
52,0.0504284010469714,0.0269747683769801
53,0.0469428376999441,0.0288685456419947
54,0.0436981931921801,0.0308952764982828
55,0.0406778154415529,0.0330642950200033
56,0.0378662033420903,0.0353855905847154
57,0.0352489272095923,0.0378698538792851
58,0.0328125547259725,0.0405285261356601
59,0.0305445820022558,0.043373851823267
60,0.0284333694064377,0.0464189350407049
61,0.0264680818268602,0.049677799866447
62,0.024638633064527,0.0531654549464926
63,0.0229356340689694,0.0568979626164288
64,0.0213503447519996,0.0608925128762413
65,0.0198746291320527,0.0651675025585641
66,0.018500913578908,0.0697426200549767
67,0.017222147944497,0.0746389359905524
68,0.0160317693803124,0.0798790002642615
69,0.0149236686557234,0.0854869459021435
70,0.0138921588043379,0.0914886002015434
